customer_id,company_name,industry,subscription_tier,contract_type,payment_method,signup_cohort,tenure_months,monthly_charges,total_charges,active_user_seats,feature_adoption_rate,support_tickets_30d,days_since_last_login,nps_score,churn_risk_score,risk_tier,churn_status,churn_reason
CUST-10001,Vanguard Data Systems,Education,Starter,Month-to-Month,Bank Transfer,2025-12,5,131.57,632.93,5,26,1,0,3,63.4,Medium Risk,1,Low User Adoption
CUST-10002,Nexus Data Systems,Healthcare,Professional,Month-to-Month,Credit Card,2026-02,1,495.07,488.6,27,35,2,1,4,50.0,Medium Risk,0,N/A
CUST-10003,Quantum Data Systems,Technology,Starter,1-Year,Electronic Check,2025-12,4,161.16,651.27,6,83,0,8,3,17.5,Low Risk,0,N/A
CUST-10004,Hyperion Data Systems,Financial Services,Professional,1-Year,Credit Card,2024-03,28,478.43,13034.51,27,44,3,1,7,3.9,Low Risk,0,N/A
CUST-10005,Aura Data Systems,Financial Services,Starter,1-Year,Bank Transfer,2025-09,3,147.56,447.64,5,83,2,0,7,6.3,Low Risk,0,N/A
CUST-10006,Catalyst Data Systems,Manufacturing,Starter,1-Year,Bank Transfer,2024-02,26,161.0,4258.98,6,55,1,0,9,1.6,Low Risk,0,N/A
CUST-10007,Pulse Data Systems,Healthcare,Professional,1-Year,Bank Transfer,2024-05,8,421.96,3338.41,17,86,1,3,7,6.6,Low Risk,0,N/A
CUST-10008,Vertex Data Systems,Healthcare,Professional,2-Year,Bank Transfer,2024-06,26,332.45,8471.8,7,69,1,1,8,1.3,Low Risk,0,N/A
CUST-10009,Starlight Data Systems,Manufacturing,Enterprise,Month-to-Month,Electronic Check,2026-01,3,929.81,2873.3,22,97,0,0,4,34.3,Low Risk,1,Executive Leadership Turnover
CUST-10010,Beacon Data Systems,Financial Services,Enterprise,Month-to-Month,Credit Card,2026-03,5,1289.27,6664.2,65,92,0,1,4,22.3,Low Risk,0,N/A
CUST-10011,Cobalt Data Systems,Technology,Professional,2-Year,Electronic Check,2026-03,3,417.18,1250.14,20,45,0,5,10,4.5,Low Risk,0,N/A
CUST-10012,Crest Data Systems,Technology,Enterprise,Month-to-Month,Credit Card,2024-09,17,1165.49,19339.63,52,92,1,0,7,8.7,Low Risk,0,N/A
CUST-10013,Elevation Data Systems,Financial Services,Starter,Month-to-Month,Bank Transfer,2024-08,3,146.83,445.11,6,58,0,2,8,33.2,Low Risk,1,Executive Leadership Turnover
CUST-10014,Frontier Data Systems,Healthcare,Starter,Month-to-Month,Bank Transfer,2025-10,8,119.09,933.13,1,42,1,3,9,14.2,Low Risk,0,N/A
CUST-10015,Horizon Data Systems,E-Commerce,Enterprise,1-Year,Credit Card,2025-02,15,1300.3,19973.53,68,21,2,30,3,86.4,High Risk,1,Budget Reallocation / Price
CUST-10016,Integra Data Systems,Technology,Starter,Month-to-Month,Bank Transfer,2025-03,8,133.27,1094.82,4,24,1,5,8,57.4,Medium Risk,1,Low User Adoption
CUST-10017,Kinetic Data Systems,Technology,Enterprise,Month-to-Month,Bank Transfer,2025-01,2,1404.82,2761.37,80,36,1,30,6,79.4,High Risk,1,Poor Onboarding Experience
CUST-10018,Luminary Data Systems,Education,Enterprise,Month-to-Month,Electronic Check,2025-07,12,1948.42,24165.5,144,84,0,1,2,22.3,Low Risk,0,N/A
CUST-10019,Meridian Data Systems,Manufacturing,Starter,Month-to-Month,Credit Card,2025-10,4,159.8,645.3,9,66,0,8,5,56.2,Medium Risk,0,N/A
CUST-10020,Nova Data Systems,E-Commerce,Professional,2-Year,Bank Transfer,2025-11,6,460.3,2856.59,23,45,0,0,8,3.4,Low Risk,0,N/A
CUST-10021,Omni Data Systems,Technology,Starter,2-Year,Bank Transfer,2024-07,17,200.45,3349.03,10,48,0,1,2,7.9,Low Risk,0,N/A
CUST-10022,Pinnacle Data Systems,E-Commerce,Enterprise,2-Year,Credit Card,2024-01,22,1564.91,33368.82,97,85,0,2,10,0.3,Low Risk,0,N/A
CUST-10023,Acro Data Systems,Technology,Professional,1-Year,Credit Card,2024-07,22,332.53,7052.76,9,96,3,1,5,4.1,Low Risk,0,N/A
CUST-10024,Boreal Data Systems,Education,Professional,Month-to-Month,Bank Transfer,2024-09,6,358.54,2220.76,13,71,1,1,1,35.4,Medium Risk,1,Executive Leadership Turnover
CUST-10025,Cortex Data Systems,Manufacturing,Starter,Month-to-Month,Bank Transfer,2024-10,12,151.89,1878.69,6,20,3,0,5,63.4,Medium Risk,1,Low User Adoption
CUST-10026,Equinox Data Systems,E-Commerce,Enterprise,Month-to-Month,Bank Transfer,2026-02,2,1252.9,2566.39,59,67,0,3,6,48.8,Medium Risk,0,N/A
CUST-10027,Flux Data Systems,Education,Enterprise,1-Year,Credit Card,2024-02,28,1472.57,42206.17,88,75,0,5,7,8.7,Low Risk,0,N/A
CUST-10028,Galactic Data Systems,Healthcare,Starter,Month-to-Month,Bank Transfer,2026-01,3,128.45,398.89,4,59,1,1,10,13.6,Low Risk,0,N/A
CUST-10029,Helix Data Systems,Technology,Enterprise,2-Year,Bank Transfer,2024-04,20,1456.25,28229.45,86,70,0,3,7,3.1,Low Risk,0,N/A
CUST-10030,Infini Data Systems,Manufacturing,Starter,Month-to-Month,Electronic Check,2025-06,11,113.81,1233.27,1,40,1,0,8,18.2,Low Risk,0,N/A
CUST-10031,Krypton Data Systems,Technology,Professional,1-Year,Bank Transfer,2025-11,5,383.25,1978.0,14,85,0,1,10,1.7,Low Risk,0,N/A
CUST-10032,Matrix Data Systems,Manufacturing,Professional,Month-to-Month,Bank Transfer,2025-02,11,410.18,4677.96,17,74,1,2,7,18.2,Low Risk,0,N/A
CUST-10033,Neutron Data Systems,Education,Starter,1-Year,Credit Card,2024-03,27,107.43,3012.91,2,45,2,0,5,9.1,Low Risk,1,Competitor Migration
CUST-10034,Optima Data Systems,Manufacturing,Enterprise,2-Year,Credit Card,2025-11,7,1057.94,7619.12,38,78,1,0,8,1.2,Low Risk,0,N/A
CUST-10035,Prism Data Systems,Technology,Professional,2-Year,Credit Card,2024-02,18,354.66,6399.78,12,46,4,0,4,23.1,Low Risk,0,N/A
CUST-10036,Radiant Data Systems,Manufacturing,Professional,Month-to-Month,Electronic Check,2026-05,3,570.43,1707.82,35,69,3,1,9,13.6,Low Risk,0,N/A
CUST-10037,Solaris Data Systems,Financial Services,Professional,1-Year,Credit Card,2025-09,4,532.32,2196.23,31,50,1,3,5,28.9,Low Risk,0,N/A
CUST-10038,Titan Data Systems,Technology,Starter,Month-to-Month,Bank Transfer,2025-02,14,127.91,1848.74,4,57,1,1,5,35.4,Medium Risk,0,N/A
CUST-10039,Zenith Data Systems,Manufacturing,Enterprise,1-Year,Credit Card,2024-01,31,961.49,29897.33,25,60,0,1,9,1.9,Low Risk,0,N/A
CUST-10040,Strata Data Systems,Education,Professional,Month-to-Month,Bank Transfer,2025-04,1,481.92,498.09,24,64,0,2,7,33.2,Low Risk,1,Poor Onboarding Experience
CUST-10041,Synapse Data Systems,Manufacturing,Professional,1-Year,Bank Transfer,2025-09,7,549.29,3831.1,34,32,3,0,6,21.4,Low Risk,0,N/A
CUST-10042,Vortex Data Systems,Financial Services,Professional,2-Year,Credit Card,2026-03,1,400.74,405.55,17,75,0,1,10,2.4,Low Risk,0,N/A
CUST-10043,Vector Data Systems,Education,Starter,Month-to-Month,Bank Transfer,2024-05,8,122.24,958.85,1,31,1,0,10,21.4,Low Risk,0,N/A
CUST-10044,Zenith Data Systems,Financial Services,Starter,1-Year,Credit Card,2024-06,10,199.23,1972.43,10,28,1,8,8,34.3,Low Risk,0,N/A
CUST-10045,Aegis Data Systems,Education,Starter,1-Year,Bank Transfer,2026-01,3,189.67,565.75,10,91,3,3,8,11.4,Low Risk,1,Low User Adoption
CUST-10046,Orion Data Systems,Financial Services,Starter,Month-to-Month,Credit Card,2025-02,12,131.94,1642.24,6,96,3,1,4,19.0,Low Risk,1,Low User Adoption
CUST-10047,Apex Cloud Systems,Financial Services,Professional,Month-to-Month,Credit Card,2025-12,5,554.34,2760.79,34,49,0,0,10,9.5,Low Risk,0,N/A
CUST-10048,Vanguard Cloud Systems,E-Commerce,Professional,Month-to-Month,Electronic Check,2024-06,16,480.76,7926.07,26,42,1,0,6,18.2,Low Risk,0,N/A
CUST-10049,Nexus Cloud Systems,Manufacturing,Starter,1-Year,Credit Card,2026-01,2,117.5,229.77,4,75,1,1,9,5.7,Low Risk,0,N/A
CUST-10050,Quantum Cloud Systems,Education,Starter,1-Year,Bank Transfer,2025-12,5,178.42,907.89,10,57,1,1,6,7.9,Low Risk,0,N/A
CUST-10051,Hyperion Cloud Systems,Financial Services,Starter,1-Year,Bank Transfer,2025-12,4,190.28,781.37,9,50,2,21,7,45.0,Medium Risk,1,Missing Core Feature
CUST-10052,Aura Cloud Systems,Financial Services,Starter,1-Year,Bank Transfer,2024-02,2,116.58,225.75,3,85,0,14,8,13.6,Low Risk,0,N/A
CUST-10053,Catalyst Cloud Systems,Technology,Professional,Month-to-Month,Electronic Check,2024-09,16,433.25,6738.86,20,29,3,1,3,63.4,Medium Risk,1,Missing Core Feature
CUST-10054,Pulse Cloud Systems,Manufacturing,Enterprise,Month-to-Month,Credit Card,2025-08,10,1102.29,11340.51,41,94,0,1,7,10.4,Low Risk,0,N/A
CUST-10055,Vertex Cloud Systems,E-Commerce,Starter,2-Year,Bank Transfer,2026-01,2,167.61,323.82,10,95,0,2,4,6.3,Low Risk,0,N/A
CUST-10056,Starlight Cloud Systems,Technology,Professional,Month-to-Month,Bank Transfer,2025-11,5,496.78,2501.74,27,73,0,0,6,21.4,Low Risk,0,N/A
CUST-10057,Beacon Cloud Systems,Healthcare,Professional,Month-to-Month,Bank Transfer,2024-05,3,441.37,1317.66,22,22,0,1,8,61.1,Medium Risk,1,Budget Reallocation / Price
CUST-10058,Cobalt Cloud Systems,E-Commerce,Professional,Month-to-Month,Credit Card,2025-03,3,490.09,1422.2,27,91,0,1,6,17.5,Low Risk,0,N/A
CUST-10059,Crest Cloud Systems,Education,Enterprise,1-Year,Bank Transfer,2024-02,25,966.49,24327.19,25,37,1,2,9,1.6,Low Risk,0,N/A
CUST-10060,Elevation Cloud Systems,Education,Enterprise,Month-to-Month,Bank Transfer,2024-04,28,1100.95,31599.89,43,35,0,2,6,11.4,Low Risk,0,N/A
CUST-10061,Frontier Cloud Systems,Manufacturing,Starter,Month-to-Month,Electronic Check,2025-01,17,108.51,1862.77,2,15,2,1,7,41.3,Medium Risk,1,Budget Reallocation / Price
CUST-10062,Horizon Cloud Systems,E-Commerce,Professional,Month-to-Month,Bank Transfer,2024-10,15,494.81,7309.78,29,77,0,21,8,52.5,Medium Risk,1,Competitor Migration
CUST-10063,Integra Cloud Systems,Technology,Professional,1-Year,Bank Transfer,2024-04,21,313.86,6767.55,7,34,1,3,7,19.8,Low Risk,0,N/A
CUST-10064,Kinetic Cloud Systems,E-Commerce,Starter,Month-to-Month,Credit Card,2025-12,2,162.06,324.32,9,23,0,3,7,75.0,High Risk,0,N/A
CUST-10065,Luminary Cloud Systems,Technology,Starter,1-Year,Credit Card,2026-04,2,152.31,303.53,5,72,1,1,8,13.6,Low Risk,0,N/A
CUST-10066,Meridian Cloud Systems,Financial Services,Enterprise,Month-to-Month,Credit Card,2024-02,11,1427.51,16105.54,81,75,2,5,7,29.9,Low Risk,0,N/A
CUST-10067,Nova Cloud Systems,Healthcare,Professional,2-Year,Bank Transfer,2024-04,28,301.92,8704.62,6,71,0,8,1,7.2,Low Risk,0,N/A
CUST-10068,Omni Cloud Systems,Healthcare,Starter,1-Year,Credit Card,2026-04,3,134.85,416.6,5,83,1,1,8,6.3,Low Risk,0,N/A
CUST-10069,Pinnacle Cloud Systems,Technology,Professional,2-Year,Electronic Check,2025-12,1,370.59,376.34,12,70,5,3,8,29.9,Low Risk,1,Competitor Migration
CUST-10070,Acro Cloud Systems,Technology,Starter,Month-to-Month,Bank Transfer,2025-05,7,99.27,688.36,1,87,2,0,4,19.0,Low Risk,0,N/A
CUST-10071,Boreal Cloud Systems,Education,Starter,Month-to-Month,Bank Transfer,2024-09,22,170.51,3623.34,10,16,3,1,6,25.0,Low Risk,0,N/A
CUST-10072,Cortex Cloud Systems,Financial Services,Enterprise,Month-to-Month,Bank Transfer,2026-04,3,1557.36,4700.04,96,40,6,5,3,89.1,High Risk,1,Budget Reallocation / Price
CUST-10073,Equinox Cloud Systems,Education,Starter,1-Year,Credit Card,2025-12,1,149.61,146.38,7,92,2,5,9,4.7,Low Risk,0,N/A
CUST-10074,Flux Cloud Systems,Financial Services,Starter,1-Year,Credit Card,2025-10,3,136.23,393.43,4,95,0,2,2,16.8,Low Risk,0,N/A
CUST-10075,Galactic Cloud Systems,Financial Services,Professional,Month-to-Month,Credit Card,2024-07,5,337.84,1643.87,7,84,3,1,7,8.7,Low Risk,0,N/A
CUST-10076,Helix Cloud Systems,E-Commerce,Enterprise,Month-to-Month,Bank Transfer,2024-03,5,1552.63,7952.31,95,43,3,3,10,14.2,Low Risk,0,N/A
CUST-10077,Infini Cloud Systems,Financial Services,Starter,Month-to-Month,Credit Card,2025-10,5,140.49,700.85,7,89,1,2,7,8.7,Low Risk,0,N/A
CUST-10078,Krypton Cloud Systems,Manufacturing,Enterprise,Month-to-Month,Bank Transfer,2026-03,4,1626.53,6306.31,103,53,1,0,2,35.4,Medium Risk,1,Poor Onboarding Experience
CUST-10079,Matrix Cloud Systems,Healthcare,Enterprise,Month-to-Month,Electronic Check,2025-11,7,1191.6,8334.09,54,90,2,0,7,8.7,Low Risk,0,N/A
CUST-10080,Neutron Cloud Systems,E-Commerce,Enterprise,Month-to-Month,Credit Card,2024-08,12,1493.65,17293.67,91,27,6,1,9,53.7,Medium Risk,0,N/A
CUST-10081,Optima Cloud Systems,Financial Services,Starter,1-Year,Bank Transfer,2024-07,21,130.72,2662.97,2,96,1,0,9,0.7,Low Risk,0,N/A
CUST-10082,Prism Cloud Systems,Manufacturing,Starter,Month-to-Month,Electronic Check,2024-11,5,164.25,840.86,9,91,0,5,4,35.4,Medium Risk,1,Budget Reallocation / Price
CUST-10083,Radiant Cloud Systems,Technology,Professional,Month-to-Month,Credit Card,2025-07,6,293.61,1796.28,5,17,0,0,8,46.3,Medium Risk,0,N/A
CUST-10084,Solaris Cloud Systems,E-Commerce,Professional,Month-to-Month,Credit Card,2025-08,1,400.46,411.59,16,81,0,2,2,34.3,Low Risk,0,N/A
CUST-10085,Titan Cloud Systems,E-Commerce,Professional,Month-to-Month,Electronic Check,2024-11,20,441.43,8705.13,20,33,0,0,8,28.9,Low Risk,0,N/A
CUST-10086,Zenith Cloud Systems,Manufacturing,Professional,Month-to-Month,Credit Card,2024-04,28,425.69,11873.13,19,98,2,3,8,7.9,Low Risk,0,N/A
CUST-10087,Strata Cloud Systems,Healthcare,Professional,Month-to-Month,Bank Transfer,2025-02,11,525.87,5596.33,31,47,1,0,10,7.9,Low Risk,1,Missing Core Feature
CUST-10088,Synapse Cloud Systems,Technology,Professional,1-Year,Credit Card,2025-06,9,410.91,3675.39,16,57,2,1,9,3.2,Low Risk,0,N/A
CUST-10089,Vortex Cloud Systems,Education,Starter,Month-to-Month,Credit Card,2024-07,5,144.01,735.18,5,76,0,0,9,4.3,Low Risk,0,N/A
CUST-10090,Vector Cloud Systems,Manufacturing,Starter,2-Year,Electronic Check,2025-08,11,169.58,1795.09,7,97,1,2,8,1.2,Low Risk,0,N/A
CUST-10091,Zenith Cloud Systems,Financial Services,Professional,Month-to-Month,Bank Transfer,2024-05,19,397.75,7575.68,14,66,0,3,10,8.7,Low Risk,0,N/A
CUST-10092,Aegis Cloud Systems,E-Commerce,Professional,Month-to-Month,Bank Transfer,2025-07,10,379.51,3725.91,15,25,3,0,8,41.3,Medium Risk,1,Missing Core Feature
CUST-10093,Orion Cloud Systems,Education,Professional,Month-to-Month,Credit Card,2024-04,12,465.97,5505.94,24,70,0,2,8,21.4,Low Risk,0,N/A
CUST-10094,Apex Digital Systems,Healthcare,Starter,Month-to-Month,Electronic Check,2026-01,2,167.42,324.91,10,47,0,0,7,33.2,Low Risk,0,N/A
CUST-10095,Vanguard Digital Systems,Manufacturing,Professional,1-Year,Credit Card,2025-01,2,444.56,894.34,21,70,0,8,9,12.5,Low Risk,0,N/A
CUST-10096,Nexus Digital Systems,Education,Professional,Month-to-Month,Bank Transfer,2026-02,5,369.53,1809.71,14,73,3,8,3,51.2,Medium Risk,0,N/A
CUST-10097,Quantum Digital Systems,Manufacturing,Professional,Month-to-Month,Bank Transfer,2024-11,6,319.85,1895.97,7,24,1,0,7,41.3,Medium Risk,0,N/A
CUST-10098,Hyperion Digital Systems,Education,Enterprise,Month-to-Month,Bank Transfer,2025-08,3,1211.77,3653.85,57,98,0,14,8,28.9,Low Risk,0,N/A
CUST-10099,Aura Digital Systems,Manufacturing,Professional,1-Year,Electronic Check,2024-11,11,566.37,6275.63,34,34,1,1,8,21.4,Low Risk,0,N/A
